[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Morgan Gibbs-White to have 1 or more shots on target & to be fouled 1 or more times (Winner in his last 3 EPL matches)  @ [{'bookieCode': 'PP', 'oddsFractional': '11/8', 'oddsDecimal': '2.37', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96579244*927.373717086'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | West Ham To Win Either Half WAS 6/4  @ [{'bookieCode': 'BY', 'oddsFractional': '11/8', 'oddsDecimal': '2.38', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854504.1*461070295.1*2896277823.1'}]
[?]  Fulham v Burnley  (English Premier League Matches)  | Price Boosts  | Raul Jimenez To Score (Was 13/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '7/5', 'oddsDecimal': '2.4', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978602*1064673546*3211797188*Fulham FC vs Burnley*Price Boosts*--'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Casemiro 1+ Shots On Target  @ [{'bookieCode': 'WA', 'oddsFractional': '6/4', 'oddsDecimal': '2.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2077504786*576875385*16443789'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Yoane Wissa 2+ Shots On Target (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '6/4', 'oddsDecimal': '2.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6131506597*1712058717*Yoane+Wissa+2++Shots+On+Target+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960194'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Cole Palmer To Score (Was 6/4)  @ [{'bookieCode': 'LD', 'oddsFractional': '13/8', 'oddsDecimal': '2.62', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978604*1064675996*3211803617*Everton FC vs Chelsea*Price Boosts*--'}]
[?]  Fulham v Burnley  (English Premier League Matches)  | Price Boosts  | Harry Wilson to have 1 or more shots on target & to be fouled 2 or more times  @ [{'bookieCode': 'PP', 'oddsFractional': '7/4', 'oddsDecimal': '2.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96545661*927.373525579'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Dominic Calvert-Lewin 2+ Shots On Target (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '7/4', 'oddsDecimal': '2.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6129466733*1711607803*Dominic+Calvert-Lewin+2++Shots+On+Target+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960191'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Bryan Mbeumo To Score (Was 17/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '9/5', 'oddsDecimal': '2.8', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254840270*1064582420*3211482785*AFC Bournemouth vs Manchester United*Price Boosts*--'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Joao Pedro To Score Anytime (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '15/8', 'oddsDecimal': '2.88', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6129417123*1711600801*Joao+Pedro+To+Score+Anytime+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960190'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Newcastle Win 1-0, 2-0 or 2-1 WAS 7/4  @ [{'bookieCode': 'BY', 'oddsFractional': '15/8', 'oddsDecimal': '2.88', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854503.1*461070186.1*2896277067.1'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Bryan Mbeumo To Score Anytime (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '15/8', 'oddsDecimal': '2.88', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6128736095*1711461727*Bryan+Mbeumo+To+Score+Anytime+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960185'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Aston Villa To Score In Both Halves (Was 7/4)  @ [{'bookieCode': 'LD', 'oddsFractional': '19/10', 'oddsDecimal': '2.9', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978605*1064680110*3211817422*Aston Villa vs West Ham United*Price Boosts*--'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | 4+ Goals Scored (Was 7/4)  @ [{'bookieCode': 'LD', 'oddsFractional': '19/10', 'oddsDecimal': '2.9', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978605*1064680110*3211817467*Aston Villa vs West Ham United*Price Boosts*--'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Morgan Rogers To Score (Was 9/5)  @ [{'bookieCode': 'LD', 'oddsFractional': '19/10', 'oddsDecimal': '2.9', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978605*1064680110*3211817497*Aston Villa vs West Ham United*Price Boosts*--'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Sunderland To Win Either Half WAS 2/1  @ [{'bookieCode': 'BY', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854503.1*461070186.1*2896277072.1'}]
